´Žèurl,pick,team,year,player,pos,pos_cat,college,weight,weight_normalized,height_inches,height_normalized,forty,forty_normalized,vertical,vertical_normalized,bench,bench_normalized,broad,broad_normalized,threecone,threecone_normalized,shuttle,shuttle_normalized,defense_ast_tackles,defense_fum_forced,defense_fum_rec,defense_fum_tds,defense_fum_yds,defense_games,defense_int,defense_int_td,defense_int_yards,defense_loss_tackles,defense_pd,defense_sacks,defense_seasons,defense_solo_tackes,defense_tackles,passing_attempts,passing_comp_pct,passing_completions,passing_games,passing_pass_ints,passing_pass_tds,passing_pass_yards,passing_seasons,rushing_games,rushing_rec_td,rushing_rec_yards,rushing_receptions,rushing_rush_att,rushing_rush_td,rushing_rush_yds,rushing_scrim_plays,rushing_scrim_tds,rushing_scrim_yds,rushing_seasons,receiving_games,receiving_rec_td,receiving_rec_yards,receiving_receptions,receiving_rush_att,receiving_rush_td,receiving_rush_yds,receiving_scrim_plays,receiving_scrim_tds,receiving_scrim_yds,receiving_seasons,num_missing_vals
https://www.sports-reference.com/cfb/players/james-gayle-1.html,300,Not Drafted,2014,James Gayle,DE,DL,Virginia Tech,259,2.720588235,76,6,4.7,7.992307692,37,7.906976744,26,4.405405405,122,7.230769231,7.19,8.02,4.27,7.569343066,59,2,0,0,0,37,0,0,0,40.5,2,22,4,79.0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/james-hall-1.html,300,Not Drafted,2000,James Hall,DE,DL,Michigan,271,3.514705882,74,4,5.03,5.707692308,32,5.813953488,NA,NA,111,5.326923077,7.86,5.005,4.51,5.99270073,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,10,2,131,6,18,0,74,24,2,205,1,0,0,0,0,0,0,0,0,0,0,0,1
https://www.sports-reference.com/cfb/players/james-hanna-1.html,186,Dallas Cowboys,2012,James Hanna,TE,TE,Oklahoma,252,5.263165374,76,6,4.43,9.25,36,6.351351351,24,6.447806072,122,7,6.76,9.689628416,4.11,8.607142857,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9,720,52,0,0,0,52,9,720,4,0
https://www.sports-reference.com/cfb/players/james-hardy-1.html,41,Buffalo Bills,2008,James Hardy,WR,WR,Indiana,217,7.063577316,77,9.307692308,4.45,6.667119302,31.5,3.605263158,18,6.47826087,125,6.859427019,6.84,6.654867257,4.2,6.34375,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,36,2740,191,0,0,0,191,36,2740,3,0
https://www.sports-reference.com/cfb/players/james-hearns-1.html,300,Not Drafted,2018,James Hearns,DE,DL,Louisville,239,1.397058824,75,5,4.89,6.676923077,NA,NA,22,3.432432432,NA,NA,NA,NA,NA,NA,32,9,2,0,0,33,0,0,0,28.0,5,17.5,4,69.0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
https://www.sports-reference.com/cfb/players/james-jackson-1.html,65,Cleveland Browns,2001,James Jackson,RB,RB,Miami,210,4.345132743,70,4.6,4.55,6.422618284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,42,3,278,38,541,31,2950,579,34,3228,5,0,0,0,0,0,0,0,0,0,0,0,5
https://www.sports-reference.com/cfb/players/james-jones-3.html,78,Green Bay Packers,2007,James Jones,WR,WR,San Jose State,207,5.934183976,73,6.538461538,4.54,5.095829292,34,4.789473684,22,8.043478261,119,5.261401468,7.06,4.902654867,4.2,6.34375,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,12,1496,126,24,1,126,150,13,1622,4,0
https://www.sports-reference.com/cfb/players/james-laurinaitis-1.html,35,Los Angeles Rams,2009,James Laurinaitis,ILB,LB,Ohio State,244,5.68000936,74,6,4.72,5.74940964,33,5.371428571,22,5.000014815,115,4.857142857,6.93,7.787948131,4.24,5.989130435,216,0,0,0,0,51,9,0,72,24.5,0,13,4,159.0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/james-looney-1.html,232,Green Bay Packers,2018,James Looney,DE,DL,California,287,4.573529412,75,5,4.89,6.676923077,35.5,7.279069767,28,4.891891892,113,5.673076923,7.32,7.435,4.37,6.912408759,78,1,5,0,0,39,0,0,0,20.5,2,7,4,53.0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/james-marten-1.html,67,Dallas Cowboys,2007,James Marten,OT,OL,Boston College,309,5.378382542,79,7.3,5.08,6.999722196,30.5,6.594594595,NA,NA,100,5.275011812,7.68,6.475691307,4.54,6.999749979,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://www.sports-reference.com/cfb/players/james-mcclinton-1.html,300,Not Drafted,2008,James McClinton,DT,DL,Kansas,293,4.970588235,72,2,5.47,2.661538462,21.5,1.418604651,23,3.675675676,97,2.903846154,7.5,6.625,4.73,4.547445255,63,3,0,0,0,37,1,0,9,30.0,0,8.5,3,54.0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/james-morris-1.html,300,Not Drafted,2014,James Morris,ILB,LB,Iowa,241,5.14000828,73,5,4.8,4.749270732,34.5,6.142857143,18,3.666676543,117,5.371428571,6.94,7.711670481,4.36,4.815217391,220,2,1,0,0,50,6,0,130,32.0,8,9.5,4,179.0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/james-newson-1.html,300,Not Drafted,2004,James Newson,WR,WR,Oregon State,213,6.61181998,73,6.538461538,4.76,1.254898157,31.5,3.605263158,NA,NA,116,4.462388693,7.41,2.115044248,NA,NA,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,20,3572,213,3,0,35,216,20,3607,4,2
https://www.sports-reference.com/cfb/players/james-pinkney-1.html,300,Not Drafted,2007,James Pinkney,QB,QB,East Carolina,208,3.250035157,74,5,4.79,5.900584216,34,7.081081081,NA,NA,112,5.5,7.35,4.503397206,4.49,3.868131868,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1189,224.5,687,43,35,46,8173,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
